tag,profile,cls,p,coverage,coverage_sd,false_rate,false_rate_sd,chain_cov,chain_cov_sd,recloss,recloss_sd,irrec,irrec_sd,error_links,error_links_sd,irrec_links,irrec_links_sd,no_cert_links,no_cert_links_sd,fallback,fallback_sd,candidates,candidates_sd,ed_effort,ed_effort_sd,ed_error,ed_error_sd,ed_abstention,ed_abstention_sd,ed,ed_sd,secs,secs_sd
main,dense,approval_links,0.01,0.9984166666666667,0.0004923884581935033,0.0,0.0,0.9905,0.0029543307491610633,0.0,0.0,0.009791666666666667,0.0030573824947654565,0.0,0.0,0.0016319444444444445,0.000509563749127576,0.0015833333333333333,0.0004923884581935113,0.009791666666666667,0.0030573824947654565,1.46875,0.45860737421481845,0.024479166666666666,0.0076434562369136405,0.0,0.0,0.475,0.14771653745805338,0.49947916666666664,0.15523850230752745,0.007212466560304165,0.00018403747447769087
main,dense,approval_links,0.05,0.9918611111111111,0.0010724259722176377,0.0,0.0,0.9511666666666667,0.00643455583330582,0.0,0.0,0.050708333333333334,0.0059926551047660296,0.0,0.0,0.008451388888888888,0.0009987758507943383,0.008138888888888888,0.0010724259722176349,0.050708333333333334,0.0059926551047660296,7.60625,0.8988982657149046,0.12677083333333333,0.014981637761915075,0.0,0.0,2.441666666666667,0.32172779166529053,2.5684375,0.33646233906691564,0.008612258313223719,0.0004901846678518197
main,dense,approval_links,0.1,0.9836388888888888,0.001585243026034808,0.0,0.0,0.9018333333333334,0.009511458156208756,0.0,0.0,0.10179166666666667,0.009797940319420403,0.0,0.0,0.016965277777777777,0.0016329900532367338,0.01636111111111111,0.0015852430260347916,0.10179166666666667,0.009797940319420403,15.26875,1.4696910479130603,0.25447916666666665,0.024494850798551,0.0,0.0,4.908333333333333,0.47557290781043743,5.1628125,0.49959105855271146,0.009735975041985511,0.0003469355423299943
main,dense,approval_links,0.2,0.9692847222222223,0.0017523509457032487,0.0,0.0,0.8157083333333334,0.010514105674219502,0.0,0.0,0.19233333333333333,0.010132888956092004,0.0,0.0,0.03205555555555555,0.0016888148260153341,0.03071527777777778,0.0017523509457032524,0.19233333333333333,0.010132888956092004,28.85,1.5199333434138,0.48083333333333333,0.025332222390230003,0.0,0.0,9.214583333333334,0.5257052837109756,9.695416666666667,0.5504544407798605,0.011875112610869109,0.0002916363507967586
main,dense,approval_links,0.4,0.9357361111111111,0.0025065298089013382,0.0,0.0,0.6144166666666666,0.01503917885340803,0.0,0.0,0.40108333333333335,0.014895101043219519,0.0,0.0,0.06684722222222222,0.002482516840536587,0.06426388888888888,0.00250652980890134,0.40108333333333335,0.014895101043219519,60.1625,2.234265156482928,1.0027083333333333,0.03723775260804881,0.0,0.0,19.279166666666665,0.7519589426704014,20.281875,0.7886458699023505,0.01757527922745794,0.0005779221831886634
main,dense,combined,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00740666245110333,0.0014196682464248202
main,dense,combined,0.01,0.9601111111111111,0.0046602399355945194,0.004537898693722337,0.0017712608008894006,0.9174583333333334,0.00830026332986063,0.058875,0.006563204849365654,0.082875,0.008400931965843841,0.004375,0.001705505075733528,0.017486111111111112,0.0017956317474136193,0.035513888888888887,0.003924259572248422,0.09166666666666666,0.009224300477447902,13.4385,1.3624439631161271,0.22605166666666668,0.022836750384602814,0.65625,0.25582576136002916,10.654166666666667,1.1772778716745265,11.536468333333334,1.2852504535791607,0.009492437541484832,0.0005040271626516495
main,dense,combined,0.05,0.8187708333333333,0.007715692446260168,0.02484295056575146,0.003688829688761961,0.647,0.014578382618318191,0.2619166666666667,0.014975857764731664,0.3546666666666667,0.014620941482153644,0.02086111111111111,0.003123123218106769,0.086375,0.004130176473203666,0.16036805555555556,0.007510183010197133,0.4437916666666667,0.01954615732265222,60.02545833333333,2.6284387456055702,1.0440462500000018,0.04565222010856285,3.129166666666667,0.46846848271601543,48.110416666666666,2.2530549030591396,52.28362958333334,2.2728893349498818,0.01700771036557853,0.0036492633619637066
main,dense,combined,0.1,0.6726597222222223,0.011216719870894435,0.05719812521447671,0.007775246159743551,0.39975,0.01693878728303426,0.46675,0.015159724649939664,0.6032916666666667,0.016389080928600305,0.04081944444444444,0.005668067565628079,0.1718263888888889,0.005382591689056318,0.28652083333333334,0.011057755206694357,0.8687083333333333,0.03185134858106873,106.19254166666667,3.8985885367119555,1.9306337499999966,0.07009505469053251,6.122916666666667,0.8502101348442118,85.95625,3.317326562008305,94.00980041666666,3.282636906530042,0.03658159992191941,0.039895961192237206
main,dense,combined,0.2,0.44834722222222223,0.01019903254148775,0.13646573748297525,0.011298360253698429,0.131625,0.009253871483163175,0.7433333333333333,0.011666666666666672,0.8715833333333334,0.00857500447547323,0.07083333333333333,0.005796142933406961,0.34160416666666665,0.006925042340646951,0.48081944444444447,0.008390266046287531,1.5711666666666666,0.049865608863909595,157.97641666666667,6.673251611374584,3.150930833333332,0.11379291257580681,10.625,0.8694214400110442,144.24583333333334,2.51707981388626,158.02176416666666,2.7429741410294044,0.03096235415432602,0.004711687382398538
