profile,p,seed,total_links,ids_usable,time_usable,union_usable,premise_links,only_union_loss,premise_rate,only_union_loss_rate,conditional_loss
dense,0.01,19,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.05,0,7200,7128,7200,7129,7128,0,0.99,0.0,0.0
dense,0.05,1,7200,7153,7200,7153,7153,0,0.9934722222222222,0.0,0.0
dense,0.05,2,7200,7136,7200,7136,7136,0,0.9911111111111112,0.0,0.0
dense,0.05,3,7200,7131,7200,7131,7131,0,0.9904166666666666,0.0,0.0
dense,0.05,4,7200,7141,7200,7142,7141,0,0.9918055555555556,0.0,0.0
dense,0.05,5,7200,7134,7200,7135,7134,0,0.9908333333333333,0.0,0.0
dense,0.05,6,7200,7118,7200,7119,7118,0,0.9886111111111111,0.0,0.0
dense,0.05,7,7200,7139,7200,7140,7139,0,0.9915277777777778,0.0,0.0
dense,0.05,8,7200,7131,7200,7132,7131,0,0.9904166666666666,0.0,0.0
dense,0.05,9,7200,7152,7200,7152,7152,0,0.9933333333333333,0.0,0.0
dense,0.05,10,7200,7136,7200,7135,7136,1,0.9911111111111112,0.0001388888888888889,0.00014013452914798206
dense,0.05,11,7200,7128,7200,7128,7128,0,0.99,0.0,0.0
dense,0.05,12,7200,7145,7200,7145,7145,0,0.9923611111111111,0.0,0.0
dense,0.05,13,7200,7140,7200,7138,7140,2,0.9916666666666667,0.0002777777777777778,0.00028011204481792715
dense,0.05,14,7200,7124,7200,7124,7124,0,0.9894444444444445,0.0,0.0
dense,0.05,15,7200,7113,7200,7112,7113,1,0.9879166666666667,0.0001388888888888889,0.00014058765640376775
dense,0.05,16,7200,7126,7200,7128,7126,0,0.9897222222222222,0.0,0.0
dense,0.05,17,7200,7124,7200,7126,7124,0,0.9894444444444445,0.0,0.0
dense,0.05,18,7200,7138,7200,7138,7138,0,0.9913888888888889,0.0,0.0
dense,0.05,19,7200,7146,7200,7147,7146,0,0.9925,0.0,0.0
dense,0.1,0,7200,7048,7200,7048,7048,0,0.9788888888888889,0.0,0.0
dense,0.1,1,7200,7049,7200,7048,7049,2,0.9790277777777778,0.0002777777777777778,0.0002837281883955171
dense,0.1,2,7200,7038,7200,7037,7038,3,0.9775,0.0004166666666666667,0.00042625745950554135
dense,0.1,3,7200,7040,7200,7042,7040,0,0.9777777777777777,0.0,0.0
dense,0.1,4,7200,7052,7200,7053,7052,0,0.9794444444444445,0.0,0.0
dense,0.1,5,7200,7041,7200,7043,7041,2,0.9779166666666667,0.0002777777777777778,0.000284050560999858
dense,0.1,6,7200,7028,7200,7031,7028,0,0.9761111111111112,0.0,0.0
dense,0.1,7,7200,7037,7200,7040,7037,0,0.9773611111111111,0.0,0.0
dense,0.1,8,7200,7045,7200,7044,7045,1,0.9784722222222222,0.0001388888888888889,0.00014194464158978
dense,0.1,9,7200,7023,7200,7028,7023,1,0.9754166666666667,0.0001388888888888889,0.00014238929232521716
dense,0.1,10,7200,7028,7200,7027,7028,3,0.9761111111111112,0.0004166666666666667,0.00042686397268070576
dense,0.1,11,7200,7033,7200,7032,7033,2,0.9768055555555556,0.0002777777777777778,0.00028437366699843596
dense,0.1,12,7200,7035,7200,7039,7035,1,0.9770833333333333,0.0001388888888888889,0.00014214641080312722
dense,0.1,13,7200,7042,7200,7039,7042,3,0.9780555555555556,0.0004166666666666667,0.0004260153365521159
dense,0.1,14,7200,7036,7200,7038,7036,1,0.9772222222222222,0.0001388888888888889,0.0001421262080727686
dense,0.1,15,7200,7038,7200,7038,7038,0,0.9775,0.0,0.0
dense,0.1,16,7200,7038,7200,7040,7038,1,0.9775,0.0001388888888888889,0.00014208581983518045
dense,0.1,17,7200,7041,7200,7044,7041,0,0.9779166666666667,0.0,0.0
dense,0.1,18,7200,7008,7200,7011,7008,0,0.9733333333333334,0.0,0.0
dense,0.1,19,7200,7051,7200,7051,7051,1,0.9793055555555555,0.0001388888888888889,0.00014182385477237272
dense,0.2,0,7200,6796,7200,6794,6796,8,0.9438888888888889,0.0011111111111111111,0.0011771630370806356
dense,0.2,1,7200,6786,7200,6794,6786,4,0.9425,0.0005555555555555556,0.0005894488653109342
dense,0.2,2,7200,6766,7200,6770,6766,6,0.9397222222222222,0.0008333333333333334,0.0008867868755542418
dense,0.2,3,7200,6745,7200,6751,6745,2,0.9368055555555556,0.0002777777777777778,0.0002965159377316531
dense,0.2,4,7200,6800,7200,6804,6800,2,0.9444444444444444,0.0002777777777777778,0.0002941176470588235
dense,0.2,5,7200,6798,7200,6798,6798,10,0.9441666666666667,0.001388888888888889,0.0014710208884966167
dense,0.2,6,7200,6822,7200,6820,6822,12,0.9475,0.0016666666666666668,0.001759014951627089
dense,0.2,7,7200,6768,7200,6769,6768,7,0.94,0.0009722222222222222,0.0010342789598108747
dense,0.2,8,7200,6765,7200,6763,6765,10,0.9395833333333333,0.001388888888888889,0.0014781966001478197
dense,0.2,9,7200,6798,7200,6793,6798,8,0.9441666666666667,0.0011111111111111111,0.0011768167107972932
dense,0.2,10,7200,6801,7200,6805,6801,5,0.9445833333333333,0.0006944444444444445,0.0007351860020585208
dense,0.2,11,7200,6773,7200,6775,6773,8,0.9406944444444445,0.0011111111111111111,0.0011811604901816035
dense,0.2,12,7200,6789,7200,6793,6789,6,0.9429166666666666,0.0008333333333333334,0.0008837825894829872
dense,0.2,13,7200,6794,7200,6792,6794,6,0.9436111111111111,0.0008333333333333334,0.0008831321754489255
dense,0.2,14,7200,6796,7200,6802,6796,6,0.9438888888888889,0.0008333333333333334,0.0008828722778104767
dense,0.2,15,7200,6808,7200,6809,6808,4,0.9455555555555556,0.0005555555555555556,0.0005875440658049354
dense,0.2,16,7200,6799,7200,6803,6799,7,0.9443055555555555,0.0009722222222222222,0.0010295631710545668
dense,0.2,17,7200,6765,7200,6767,6765,6,0.9395833333333333,0.0008333333333333334,0.0008869179600886918
dense,0.2,18,7200,6795,7200,6805,6795,3,0.94375,0.0004166666666666667,0.0004415011037527594
dense,0.2,19,7200,6797,7200,6801,6797,7,0.9440277777777778,0.0009722222222222222,0.0010298661174047373
dense,0.4,0,7200,6102,7200,6124,6102,35,0.8475,0.004861111111111111,0.005735824319895116
dense,0.4,1,7200,6046,7200,6073,6046,30,0.8397222222222223,0.004166666666666667,0.004961958319550115
dense,0.4,2,7200,6136,7200,6156,6136,27,0.8522222222222222,0.00375,0.004400260756192959
dense,0.4,3,7200,6017,7200,6037,6017,26,0.8356944444444444,0.003611111111111111,0.004321090244307795
dense,0.4,4,7200,6105,7200,6117,6105,33,0.8479166666666667,0.004583333333333333,0.005405405405405406
dense,0.4,5,7200,6096,7200,6098,6096,36,0.8466666666666667,0.005,0.005905511811023622
dense,0.4,6,7200,6080,7200,6101,6080,23,0.8444444444444444,0.0031944444444444446,0.0037828947368421053
dense,0.4,7,7200,6074,7200,6090,6074,29,0.8436111111111111,0.004027777777777778,0.004774448468883767
dense,0.4,8,7200,6105,7200,6111,6105,28,0.8479166666666667,0.0038888888888888888,0.004586404586404586
dense,0.4,9,7200,6055,7200,6057,6055,37,0.8409722222222222,0.005138888888888889,0.00611065235342692
dense,0.4,10,7200,6027,7200,6051,6027,25,0.8370833333333333,0.003472222222222222,0.004148000663680106
dense,0.4,11,7200,6096,7200,6103,6096,29,0.8466666666666667,0.004027777777777778,0.004757217847769029
dense,0.4,12,7200,6105,7200,6143,6105,20,0.8479166666666667,0.002777777777777778,0.003276003276003276
dense,0.4,13,7200,6063,7200,6070,6063,36,0.8420833333333333,0.005,0.005937654626422563
dense,0.4,14,7200,6025,7200,6048,6025,22,0.8368055555555556,0.0030555555555555557,0.0036514522821576765
dense,0.4,15,7200,6079,7200,6104,6079,23,0.8443055555555555,0.0031944444444444446,0.003783517025826616
dense,0.4,16,7200,6096,7200,6113,6096,24,0.8466666666666667,0.0033333333333333335,0.003937007874015748
dense,0.4,17,7200,6104,7200,6096,6104,41,0.8477777777777777,0.005694444444444445,0.006716906946264744
dense,0.4,18,7200,6105,7200,6119,6105,29,0.8479166666666667,0.004027777777777778,0.00475020475020475
dense,0.4,19,7200,6051,7200,6057,6051,35,0.8404166666666667,0.004861111111111111,0.005784167906131218
