profile,p,lambda,pi,cls,effort,error,abstention,ed,rank
dense,0.4,50.0,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,50.0,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,3
dense,0.4,50.0,100.0,source_artifacts,3.960467499999999,38.32916666666667,347.00416666666666,389.2938008333333,2
dense,0.4,50.0,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,50.0,100.0,ids_plus_timestamps,1.7018541666666667,8.066666666666666,252.84166666666667,262.6101875,4
dense,0.4,50.0,100.0,combined,3.2523470833333343,23.34583333333333,430.18750000000006,456.7856804166667,1
dense,0.4,100.0,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
dense,0.4,100.0,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,100.0,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,4
dense,0.4,100.0,100.0,source_artifacts,3.960467499999999,76.65833333333335,347.00416666666666,427.6229675,2
dense,0.4,100.0,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,100.0,100.0,ids_plus_timestamps,1.7018541666666667,16.133333333333333,252.84166666666667,270.67685416666666,3
dense,0.4,100.0,100.0,combined,3.2523470833333343,46.69166666666666,430.18750000000006,480.13151375000007,1
